company,root_domain,tier,source,geo,size_band,fit_signal,verification_status
Bloch Family Foundation,blochfamily.org,Tier 1,Existing target list 2026-08-21,KC,multi-gen wealth,diversified RE,verified-domain
Ewing Marion Kauffman Foundation,kauffman.org,Tier 1,Existing target list 2026-08-21,KC,$3B+ AUM,foundation / entrepreneurship,verified-domain
Hall Family Foundation,hallfamily.org,Tier 1,Existing target list 2026-08-21,KC,legacy foundation,KC housing ecosystem,verified-domain
Health Forward Foundation,healthforward.org,Tier 1,Existing target list 2026-08-21,KC,$100M+ AUM,health-housing nexus,verified-domain
Menorah Heritage Foundation,menorahheritage.org,Tier 1,Existing target list 2026-08-21,KC,Jewish community foundation,social-impact + RE,verified-domain
Bessemer Trust (KC office),bessemer.com,Tier 2,Existing target list 2026-08-21,KC + national,$100B+ AUM,large check sizes,verified-domain
Burns & McDonnell (employee/family wealth),burnsmcd.com,Tier 2,Crain KC,KC,employee-owned,legacy KC firm,unverified
Cerner/Oracle Health (legacy families),oracle.com,Tier 2,KC tech legacy,KC,public,Patterson family legacy,unverified
Country Club Trust / Country Club Financial Services,cctrust.com,Tier 2,Existing target list 2026-08-21,KC,wealth mgmt,KC advisor network,unverified
Crestwood Advisors,crestwoodadvisors.com,Tier 2,Existing target list 2026-08-21,KC,boutique wealth,RE bias,unverified
Fidelity Charitable (KC advisors),fidelitycharitable.org,Tier 2,DAF leader,National,$XXXB AUM,wealth channel,unverified
First National Bank of Kansas City / family office,fnbofgkc.com,Tier 2,Existing target list 2026-08-21,KC,private bank FFO,local FFO,unverified
GenWealth / Ardent Family Office,genwealth.com,Tier 2,Existing target list 2026-08-21,KC,multi-FO,KC relationship,unverified
Hallmark Cards (family wealth),hallmark.com,Tier 2,Crain KC,KC,private,Hall family,unverified
Lathrop GPM (law firm FFO referrals),lathropgpm.com,Tier 2,KC legal press,KC,law firm,network access,unverified
Mariner Wealth Advisors (KC office),marinerwealthadvisors.com,Tier 2,Existing target list 2026-08-21,KC + national,national RIA,KC FFO capital access,verified-domain
Moneta Group (KC office),monetagroup.com,Tier 2,Existing target list 2026-08-21,KC,KC wealth manager,RE-aligned FFO,verified-domain
National Christian Foundation,ncfgiving.com,Tier 2,NCF national,National,DAF network,faith-aligned,unverified
National Christian Foundation Heartland,ncfheartland.org,Tier 2,NCF public roster,Regional,DAF network,faith-aligned,unverified
NCF Kansas City,ncfkc.org,Tier 2,NCF public,KC,DAF,faith-aligned,unverified
Polsinelli PC (law firm FFO referrals),polsinelli.com,Tier 2,KC legal press,KC,law firm,network access,unverified
Shook Hardy & Bacon (law firm),shb.com,Tier 2,KC legal press,KC,law firm,network access,unverified
Spencer Fane LLP,spencerfane.com,Tier 2,KC legal press,KC,law firm,network access,unverified
Stinson LLP (KC office),stinson.com,Tier 2,KC legal press,KC,law firm,network access,unverified
The Signatry,thesignatry.org,Tier 2,Christian FFO,KC + national,DAF,faith-aligned,unverified
Wilmington Trust (KC office),wilmingtontrust.com,Tier 2,Existing target list 2026-08-21,KC + national,national FFO,institutional co-invest,verified-domain
AEW Capital Management,aew.com,Tier 3,Public roster,Boston/NY,$XXXB AUM,multifamily/diversified RE,unverified
American Homes 4 Rent,amh.com,Tier 3,Public roster,Atlanta,$XXB AUM,single-family rental,unverified
Avanath Capital Management,avanath.com,Tier 3,Existing target list 2026-08-21,national,affordable/market-rate MF,mission-aligned,verified-domain
Blackstone Real Estate,blackstone.com,Tier 3,Public roster,NY,$XXXB+ AUM,BREIT + BPP,unverified
Block Real Estate Services (KC),blockllc.com,Tier 3,Existing target list 2026-08-21,KC,KC commercial,co-GP,unverified
Brookfield Asset Management (RE),bam.brookfield.com,Tier 3,Public roster,NY,$XXXB+ AUM,global RE,unverified
CBRE Investment Management,cbreim.com,Tier 3,Public roster,Dallas/LA,$XXXB+ AUM,multifamily/diversified,unverified
GID Investment Advisers,gid.com,Tier 3,Public roster,Boston,$XXB AUM,multifamily/development,unverified
Griffin Capital Company,griffincapital.com,Tier 3,Existing target list 2026-08-21,national,multifamily/RE,co-GP fund-level,verified-domain
Harrison Street Real Estate Capital,harrisonst.com,Tier 3,Public roster,Chicago,$XXXB AUM,multifamily + student + senior,unverified
